{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'Linear Model'}
{'n_aborts': 1, 'n_successes': 4, 'steps': 2, 'name': 'Linear Model'}
{'n_aborts': 4, 'n_successes': 14, 'steps': 3, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 20, 'steps': 4, 'name': 'Linear Model'}
{'n_aborts': 47, 'n_successes': 30, 'steps': 5, 'name': 'Linear Model'}
{'n_aborts': 54, 'n_successes': 42, 'steps': 6, 'name': 'Linear Model'}
{'n_aborts': 65, 'n_successes': 55, 'steps': 7, 'name': 'Linear Model'}
{'n_aborts': 74, 'n_successes': 64, 'steps': 8, 'name': 'Linear Model'}
{'n_aborts': 95, 'n_successes': 73, 'steps': 9, 'name': 'Linear Model'}
{'n_aborts': 114, 'n_successes': 84, 'steps': 10, 'name': 'Linear Model'}
{'n_aborts': 133, 'n_successes': 96, 'steps': 11, 'name': 'Linear Model'}
{'n_aborts': 149, 'n_successes': 115, 'steps': 12, 'name': 'Linear Model'}
{'n_aborts': 160, 'n_successes': 129, 'steps': 13, 'name': 'Linear Model'}
{'n_aborts': 184, 'n_successes': 138, 'steps': 14, 'name': 'Linear Model'}
{'n_aborts': 195, 'n_successes': 145, 'steps': 15, 'name': 'Linear Model'}
{'n_aborts': 212, 'n_successes': 165, 'steps': 16, 'name': 'Linear Model'}
{'n_aborts': 221, 'n_successes': 185, 'steps': 17, 'name': 'Linear Model'}
{'n_aborts': 233, 'n_successes': 198, 'steps': 18, 'name': 'Linear Model'}
{'n_aborts': 247, 'n_successes': 207, 'steps': 19, 'name': 'Linear Model'}
{'n_aborts': 256, 'n_successes': 220, 'steps': 20, 'name': 'Linear Model'}
{'n_aborts': 265, 'n_successes': 235, 'steps': 21, 'name': 'Linear Model'}
{'n_aborts': 275, 'n_successes': 246, 'steps': 22, 'name': 'Linear Model'}
{'n_aborts': 298, 'n_successes': 260, 'steps': 23, 'name': 'Linear Model'}
{'n_aborts': 317, 'n_successes': 276, 'steps': 24, 'name': 'Linear Model'}
{'n_aborts': 334, 'n_successes': 284, 'steps': 25, 'name': 'Linear Model'}
{'n_aborts': 356, 'n_successes': 298, 'steps': 26, 'name': 'Linear Model'}
{'n_aborts': 370, 'n_successes': 314, 'steps': 27, 'name': 'Linear Model'}
{'n_aborts': 380, 'n_successes': 326, 'steps': 28, 'name': 'Linear Model'}
{'n_aborts': 394, 'n_successes': 340, 'steps': 29, 'name': 'Linear Model'}
{'n_aborts': 412, 'n_successes': 355, 'steps': 30, 'name': 'Linear Model'}
{'n_aborts': 424, 'n_successes': 372, 'steps': 31, 'name': 'Linear Model'}
{'n_aborts': 453, 'n_successes': 380, 'steps': 32, 'name': 'Linear Model'}
{'n_aborts': 468, 'n_successes': 395, 'steps': 33, 'name': 'Linear Model'}
{'n_aborts': 479, 'n_successes': 406, 'steps': 34, 'name': 'Linear Model'}
{'n_aborts': 498, 'n_successes': 419, 'steps': 35, 'name': 'Linear Model'}
{'n_aborts': 517, 'n_successes': 429, 'steps': 36, 'name': 'Linear Model'}
{'n_aborts': 528, 'n_successes': 449, 'steps': 37, 'name': 'Linear Model'}
{'n_aborts': 546, 'n_successes': 461, 'steps': 38, 'name': 'Linear Model'}
{'n_aborts': 562, 'n_successes': 471, 'steps': 39, 'name': 'Linear Model'}
{'n_aborts': 579, 'n_successes': 483, 'steps': 40, 'name': 'Linear Model'}
