{'n_aborts': 0, 'n_successes': 0, 'steps': 1}
{'n_aborts': 3, 'n_successes': 6, 'steps': 2, 'name': 'Linear Model'}
{'n_aborts': 4, 'n_successes': 18, 'steps': 3, 'name': 'Linear Model'}
{'n_aborts': 17, 'n_successes': 18, 'steps': 4, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 24, 'steps': 5, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 6, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 7, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 8, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 9, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 10, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 11, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 12, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 13, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 14, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 15, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 16, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 17, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 18, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 19, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 20, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 21, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 22, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 23, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 24, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 25, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 26, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 27, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 28, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 29, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 30, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 31, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 32, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 33, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 34, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 35, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 36, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 37, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 38, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 39, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 40, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 41, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 42, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 43, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 44, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 45, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 46, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 47, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 48, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 49, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 50, 'name': 'Linear Model'}
{'n_aborts': 18, 'n_successes': 31, 'steps': 51, 'name': 'Linear Model'}
