{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 6, 'steps': 2, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 8, 'steps': 2, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 7, 'steps': 2, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 7, 'steps': 2, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 8, 'steps': 2, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 3, 'steps': 2, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 2, 'steps': 2, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 7, 'steps': 3, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 91, 'steps': 3, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 14, 'steps': 3, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 13, 'steps': 3, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 91, 'steps': 3, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 13, 'steps': 3, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 6, 'steps': 3, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 11, 'steps': 4, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 106, 'steps': 4, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 22, 'steps': 4, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 18, 'steps': 4, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 104, 'steps': 4, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 20, 'steps': 4, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 9, 'steps': 4, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 17, 'steps': 5, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 119, 'steps': 5, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 31, 'steps': 5, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 24, 'steps': 5, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 119, 'steps': 5, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 22, 'steps': 5, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 12, 'steps': 5, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 21, 'steps': 6, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 133, 'steps': 6, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 39, 'steps': 6, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 29, 'steps': 6, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 128, 'steps': 6, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 28, 'steps': 6, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 12, 'steps': 6, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 27, 'steps': 7, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 142, 'steps': 7, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 43, 'steps': 7, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 32, 'steps': 7, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 139, 'steps': 7, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 30, 'steps': 7, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 15, 'steps': 7, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 29, 'steps': 8, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 155, 'steps': 8, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 48, 'steps': 8, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 42, 'steps': 8, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 149, 'steps': 8, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 34, 'steps': 8, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 16, 'steps': 8, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 39, 'steps': 9, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 163, 'steps': 9, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 52, 'steps': 9, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 46, 'steps': 9, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 162, 'steps': 9, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 39, 'steps': 9, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 21, 'steps': 9, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 52, 'steps': 10, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 175, 'steps': 10, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 57, 'steps': 10, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 53, 'steps': 10, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 171, 'steps': 10, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 46, 'steps': 10, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 25, 'steps': 10, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 55, 'steps': 11, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 184, 'steps': 11, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 60, 'steps': 11, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 58, 'steps': 11, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 179, 'steps': 11, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 52, 'steps': 11, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 28, 'steps': 11, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 61, 'steps': 12, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 189, 'steps': 12, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 61, 'steps': 12, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 65, 'steps': 12, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 187, 'steps': 12, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 57, 'steps': 12, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 29, 'steps': 12, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 64, 'steps': 13, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 195, 'steps': 13, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 67, 'steps': 13, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 70, 'steps': 13, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 197, 'steps': 13, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 63, 'steps': 13, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 32, 'steps': 13, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 68, 'steps': 14, 'name': 'k-smf-k=5'}
