{'name': 'k-smf-k=5', 'total_time': 34, 'decision_time': 28, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 181, 'decision_time': 174, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 223, 'decision_time': 169, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 140, 'decision_time': 140, 'conflict_time': 48, 'RL_time': 91}
{'name': 'RL n=20 T=7 filterT', 'total_time': 61, 'decision_time': 60, 'conflict_time': 48, 'RL_time': 10}
{'name': 'RL-smf n=20 T=7', 'total_time': 61, 'decision_time': 61, 'conflict_time': 49, 'RL_time': 11}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 62, 'decision_time': 62, 'conflict_time': 50, 'RL_time': 11}
{'name': 'RL n=50 T=7', 'total_time': 367, 'decision_time': 366, 'conflict_time': 327, 'RL_time': 39}
{'name': 'RL n=50 T=7 filterT', 'total_time': 366, 'decision_time': 366, 'conflict_time': 334, 'RL_time': 31}
{'name': 'RL-smf n=50 T=7', 'total_time': 353, 'decision_time': 352, 'conflict_time': 318, 'RL_time': 32}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 351, 'decision_time': 351, 'conflict_time': 321, 'RL_time': 29}
{'name': 'RL n=100 T=7', 'total_time': 1497, 'decision_time': 1496, 'conflict_time': 1315, 'RL_time': 180}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1524, 'decision_time': 1523, 'conflict_time': 1343, 'RL_time': 177}
{'name': 'RL-smf n=100 T=7', 'total_time': 1743, 'decision_time': 1743, 'conflict_time': 1272, 'RL_time': 465}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1449, 'decision_time': 1448, 'conflict_time': 1267, 'RL_time': 175}
{'name': 'k-smf-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 63, 'decision_time': 63, 'conflict_time': 52, 'RL_time': 11}
{'name': 'RL n=20 T=7 filterT', 'total_time': 63, 'decision_time': 62, 'conflict_time': 50, 'RL_time': 11}
{'name': 'RL-smf n=20 T=7', 'total_time': 63, 'decision_time': 63, 'conflict_time': 52, 'RL_time': 8}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 66, 'decision_time': 66, 'conflict_time': 54, 'RL_time': 10}
{'name': 'RL n=50 T=7', 'total_time': 356, 'decision_time': 356, 'conflict_time': 327, 'RL_time': 29}
{'name': 'RL n=50 T=7 filterT', 'total_time': 372, 'decision_time': 371, 'conflict_time': 332, 'RL_time': 39}
{'name': 'RL-smf n=50 T=7', 'total_time': 361, 'decision_time': 360, 'conflict_time': 331, 'RL_time': 28}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 389, 'decision_time': 389, 'conflict_time': 342, 'RL_time': 43}
{'name': 'RL n=100 T=7', 'total_time': 1879, 'decision_time': 1877, 'conflict_time': 1306, 'RL_time': 570}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1739, 'decision_time': 1738, 'conflict_time': 1309, 'RL_time': 427}
{'name': 'RL-smf n=100 T=7', 'total_time': 1485, 'decision_time': 1484, 'conflict_time': 1305, 'RL_time': 173}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1549, 'decision_time': 1548, 'conflict_time': 1333, 'RL_time': 206}
{'name': 'k-smf-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 69, 'decision_time': 68, 'conflict_time': 55, 'RL_time': 12}
{'name': 'RL n=20 T=7 filterT', 'total_time': 65, 'decision_time': 65, 'conflict_time': 52, 'RL_time': 12}
{'name': 'RL-smf n=20 T=7', 'total_time': 66, 'decision_time': 66, 'conflict_time': 52, 'RL_time': 12}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 68, 'decision_time': 68, 'conflict_time': 54, 'RL_time': 11}
{'name': 'RL n=50 T=7', 'total_time': 356, 'decision_time': 356, 'conflict_time': 323, 'RL_time': 33}
{'name': 'RL n=50 T=7 filterT', 'total_time': 346, 'decision_time': 346, 'conflict_time': 311, 'RL_time': 34}
{'name': 'RL-smf n=50 T=7', 'total_time': 341, 'decision_time': 341, 'conflict_time': 307, 'RL_time': 32}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 347, 'decision_time': 346, 'conflict_time': 309, 'RL_time': 36}
{'name': 'RL n=100 T=7', 'total_time': 1918, 'decision_time': 1917, 'conflict_time': 1337, 'RL_time': 578}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1775, 'decision_time': 1773, 'conflict_time': 1339, 'RL_time': 431}
{'name': 'RL-smf n=100 T=7', 'total_time': 1538, 'decision_time': 1537, 'conflict_time': 1356, 'RL_time': 175}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1585, 'decision_time': 1584, 'conflict_time': 1356, 'RL_time': 221}
{'name': 'k-smf-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 2, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 68, 'decision_time': 67, 'conflict_time': 53, 'RL_time': 14}
{'name': 'RL n=20 T=7 filterT', 'total_time': 80, 'decision_time': 79, 'conflict_time': 65, 'RL_time': 13}
{'name': 'RL-smf n=20 T=7', 'total_time': 69, 'decision_time': 67, 'conflict_time': 53, 'RL_time': 13}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 67, 'decision_time': 66, 'conflict_time': 53, 'RL_time': 10}
{'name': 'RL n=50 T=7', 'total_time': 383, 'decision_time': 382, 'conflict_time': 349, 'RL_time': 32}
{'name': 'RL n=50 T=7 filterT', 'total_time': 372, 'decision_time': 372, 'conflict_time': 340, 'RL_time': 31}
{'name': 'RL-smf n=50 T=7', 'total_time': 378, 'decision_time': 378, 'conflict_time': 341, 'RL_time': 33}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 376, 'decision_time': 376, 'conflict_time': 342, 'RL_time': 31}
{'name': 'RL n=100 T=7', 'total_time': 1725, 'decision_time': 1724, 'conflict_time': 1340, 'RL_time': 384}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1528, 'decision_time': 1526, 'conflict_time': 1347, 'RL_time': 178}
