{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 0, 'steps': 1, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 6, 'steps': 2, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 8, 'steps': 2, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 7, 'steps': 2, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 7, 'steps': 2, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 7, 'steps': 2, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 5, 'steps': 2, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 4, 'steps': 2, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 13, 'steps': 3, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 91, 'steps': 3, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 11, 'steps': 3, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 15, 'steps': 3, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 91, 'steps': 3, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 16, 'steps': 3, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 9, 'steps': 3, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 20, 'steps': 4, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 106, 'steps': 4, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 17, 'steps': 4, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 19, 'steps': 4, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 104, 'steps': 4, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 21, 'steps': 4, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 11, 'steps': 4, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 25, 'steps': 5, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 117, 'steps': 5, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 25, 'steps': 5, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 28, 'steps': 5, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 118, 'steps': 5, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 24, 'steps': 5, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 11, 'steps': 5, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 34, 'steps': 6, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 131, 'steps': 6, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 32, 'steps': 6, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 34, 'steps': 6, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 128, 'steps': 6, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 26, 'steps': 6, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 13, 'steps': 6, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 36, 'steps': 7, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 141, 'steps': 7, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 39, 'steps': 7, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 39, 'steps': 7, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 140, 'steps': 7, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 29, 'steps': 7, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 13, 'steps': 7, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 38, 'steps': 8, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 153, 'steps': 8, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 44, 'steps': 8, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 43, 'steps': 8, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 150, 'steps': 8, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 34, 'steps': 8, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 16, 'steps': 8, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 46, 'steps': 9, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 165, 'steps': 9, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 50, 'steps': 9, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 46, 'steps': 9, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 162, 'steps': 9, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 45, 'steps': 9, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 21, 'steps': 9, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 51, 'steps': 10, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 173, 'steps': 10, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 57, 'steps': 10, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 52, 'steps': 10, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 172, 'steps': 10, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 49, 'steps': 10, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 24, 'steps': 10, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 54, 'steps': 11, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 185, 'steps': 11, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 63, 'steps': 11, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 59, 'steps': 11, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 183, 'steps': 11, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 59, 'steps': 11, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 26, 'steps': 11, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 57, 'steps': 12, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 193, 'steps': 12, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 66, 'steps': 12, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 61, 'steps': 12, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 194, 'steps': 12, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 61, 'steps': 12, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 27, 'steps': 12, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 65, 'steps': 13, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 201, 'steps': 13, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 69, 'steps': 13, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 64, 'steps': 13, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 204, 'steps': 13, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 66, 'steps': 13, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 30, 'steps': 13, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 68, 'steps': 14, 'name': 'k-smf-k=5'}
