{'name': 'k-smf-k=5', 'total_time': 23, 'decision_time': 22, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 380, 'decision_time': 377, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 420, 'decision_time': 418, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 124, 'decision_time': 124, 'conflict_time': 33, 'RL_time': 91}
{'name': 'RL n=20 T=6 filterT', 'total_time': 41, 'decision_time': 41, 'conflict_time': 30, 'RL_time': 10}
{'name': 'RL-smf n=20 T=6', 'total_time': 44, 'decision_time': 44, 'conflict_time': 32, 'RL_time': 10}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 40, 'decision_time': 40, 'conflict_time': 28, 'RL_time': 11}
{'name': 'RL n=50 T=6', 'total_time': 238, 'decision_time': 237, 'conflict_time': 188, 'RL_time': 49}
{'name': 'RL n=50 T=6 filterT', 'total_time': 247, 'decision_time': 246, 'conflict_time': 192, 'RL_time': 53}
{'name': 'RL-smf n=50 T=6', 'total_time': 252, 'decision_time': 252, 'conflict_time': 196, 'RL_time': 54}
{'name': 'RL-smf n=50 T=6 filterT', 'total_time': 237, 'decision_time': 237, 'conflict_time': 186, 'RL_time': 49}
{'name': 'RL n=100 T=6', 'total_time': 1006, 'decision_time': 1005, 'conflict_time': 780, 'RL_time': 224}
{'name': 'RL n=100 T=6 filterT', 'total_time': 960, 'decision_time': 959, 'conflict_time': 750, 'RL_time': 207}
{'name': 'RL-smf n=100 T=6', 'total_time': 955, 'decision_time': 954, 'conflict_time': 729, 'RL_time': 221}
{'name': 'RL-smf n=100 T=6 filterT', 'total_time': 944, 'decision_time': 943, 'conflict_time': 731, 'RL_time': 209}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 46, 'decision_time': 46, 'conflict_time': 36, 'RL_time': 9}
{'name': 'RL n=20 T=6 filterT', 'total_time': 44, 'decision_time': 44, 'conflict_time': 30, 'RL_time': 13}
{'name': 'RL-smf n=20 T=6', 'total_time': 40, 'decision_time': 40, 'conflict_time': 28, 'RL_time': 10}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 44, 'decision_time': 43, 'conflict_time': 29, 'RL_time': 14}
{'name': 'RL n=50 T=6', 'total_time': 224, 'decision_time': 223, 'conflict_time': 186, 'RL_time': 36}
{'name': 'RL n=50 T=6 filterT', 'total_time': 238, 'decision_time': 238, 'conflict_time': 195, 'RL_time': 43}
{'name': 'RL-smf n=50 T=6', 'total_time': 232, 'decision_time': 232, 'conflict_time': 189, 'RL_time': 40}
{'name': 'RL-smf n=50 T=6 filterT', 'total_time': 236, 'decision_time': 236, 'conflict_time': 191, 'RL_time': 43}
{'name': 'RL n=100 T=6', 'total_time': 1175, 'decision_time': 1174, 'conflict_time': 751, 'RL_time': 422}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1189, 'decision_time': 1188, 'conflict_time': 757, 'RL_time': 430}
{'name': 'RL-smf n=100 T=6', 'total_time': 1129, 'decision_time': 1128, 'conflict_time': 762, 'RL_time': 360}
{'name': 'RL-smf n=100 T=6 filterT', 'total_time': 979, 'decision_time': 979, 'conflict_time': 747, 'RL_time': 224}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 46, 'decision_time': 46, 'conflict_time': 32, 'RL_time': 13}
{'name': 'RL n=20 T=6 filterT', 'total_time': 42, 'decision_time': 42, 'conflict_time': 31, 'RL_time': 10}
{'name': 'RL-smf n=20 T=6', 'total_time': 43, 'decision_time': 43, 'conflict_time': 32, 'RL_time': 10}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 44, 'decision_time': 44, 'conflict_time': 32, 'RL_time': 11}
{'name': 'RL n=50 T=6', 'total_time': 238, 'decision_time': 238, 'conflict_time': 195, 'RL_time': 42}
{'name': 'RL n=50 T=6 filterT', 'total_time': 254, 'decision_time': 253, 'conflict_time': 201, 'RL_time': 51}
{'name': 'RL-smf n=50 T=6', 'total_time': 243, 'decision_time': 242, 'conflict_time': 195, 'RL_time': 43}
{'name': 'RL-smf n=50 T=6 filterT', 'total_time': 251, 'decision_time': 251, 'conflict_time': 204, 'RL_time': 44}
{'name': 'RL n=100 T=6', 'total_time': 1294, 'decision_time': 1293, 'conflict_time': 811, 'RL_time': 481}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1293, 'decision_time': 1293, 'conflict_time': 792, 'RL_time': 500}
{'name': 'RL-smf n=100 T=6', 'total_time': 1190, 'decision_time': 1189, 'conflict_time': 799, 'RL_time': 383}
{'name': 'RL-smf n=100 T=6 filterT', 'total_time': 1096, 'decision_time': 1095, 'conflict_time': 833, 'RL_time': 254}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 40, 'decision_time': 40, 'conflict_time': 29, 'RL_time': 11}
{'name': 'RL n=20 T=6 filterT', 'total_time': 38, 'decision_time': 37, 'conflict_time': 28, 'RL_time': 8}
{'name': 'RL-smf n=20 T=6', 'total_time': 38, 'decision_time': 38, 'conflict_time': 30, 'RL_time': 6}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 53, 'decision_time': 52, 'conflict_time': 38, 'RL_time': 12}
{'name': 'RL n=50 T=6', 'total_time': 239, 'decision_time': 239, 'conflict_time': 194, 'RL_time': 45}
{'name': 'RL n=50 T=6 filterT', 'total_time': 228, 'decision_time': 227, 'conflict_time': 186, 'RL_time': 39}
{'name': 'RL-smf n=50 T=6', 'total_time': 238, 'decision_time': 238, 'conflict_time': 194, 'RL_time': 41}
{'name': 'RL-smf n=50 T=6 filterT', 'total_time': 237, 'decision_time': 237, 'conflict_time': 195, 'RL_time': 39}
{'name': 'RL n=100 T=6', 'total_time': 1250, 'decision_time': 1249, 'conflict_time': 775, 'RL_time': 473}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1280, 'decision_time': 1279, 'conflict_time': 778, 'RL_time': 499}
{'name': 'RL-smf n=100 T=6', 'total_time': 1270, 'decision_time': 1270, 'conflict_time': 784, 'RL_time': 477}
{'name': 'RL-smf n=100 T=6 filterT', 'total_time': 1159, 'decision_time': 1159, 'conflict_time': 743, 'RL_time': 406}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 37, 'decision_time': 37, 'conflict_time': 28, 'RL_time': 9}
{'name': 'RL n=20 T=6 filterT', 'total_time': 37, 'decision_time': 37, 'conflict_time': 29, 'RL_time': 7}
{'name': 'RL-smf n=20 T=6', 'total_time': 36, 'decision_time': 36, 'conflict_time': 28, 'RL_time': 6}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 40, 'decision_time': 40, 'conflict_time': 30, 'RL_time': 8}
{'name': 'RL n=50 T=6', 'total_time': 254, 'decision_time': 253, 'conflict_time': 208, 'RL_time': 44}
{'name': 'RL n=50 T=6 filterT', 'total_time': 263, 'decision_time': 263, 'conflict_time': 212, 'RL_time': 49}
{'name': 'RL-smf n=50 T=6', 'total_time': 265, 'decision_time': 265, 'conflict_time': 211, 'RL_time': 50}
{'name': 'RL-smf n=50 T=6 filterT', 'total_time': 261, 'decision_time': 261, 'conflict_time': 202, 'RL_time': 56}
{'name': 'RL n=100 T=6', 'total_time': 1319, 'decision_time': 1317, 'conflict_time': 794, 'RL_time': 522}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1356, 'decision_time': 1355, 'conflict_time': 806, 'RL_time': 547}
{'name': 'RL-smf n=100 T=6', 'total_time': 1172, 'decision_time': 1171, 'conflict_time': 778, 'RL_time': 384}
{'name': 'RL-smf n=100 T=6 filterT', 'total_time': 1039, 'decision_time': 1039, 'conflict_time': 775, 'RL_time': 254}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 39, 'decision_time': 38, 'conflict_time': 32, 'RL_time': 6}
{'name': 'RL n=20 T=6 filterT', 'total_time': 38, 'decision_time': 37, 'conflict_time': 31, 'RL_time': 5}
{'name': 'RL-smf n=20 T=6', 'total_time': 40, 'decision_time': 39, 'conflict_time': 31, 'RL_time': 7}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 38, 'decision_time': 38, 'conflict_time': 29, 'RL_time': 7}
{'name': 'RL n=50 T=6', 'total_time': 260, 'decision_time': 259, 'conflict_time': 213, 'RL_time': 45}
{'name': 'RL n=50 T=6 filterT', 'total_time': 258, 'decision_time': 256, 'conflict_time': 204, 'RL_time': 52}
{'name': 'RL-smf n=50 T=6', 'total_time': 260, 'decision_time': 260, 'conflict_time': 208, 'RL_time': 48}
{'name': 'RL-smf n=50 T=6 filterT', 'total_time': 253, 'decision_time': 252, 'conflict_time': 201, 'RL_time': 47}
{'name': 'RL n=100 T=6', 'total_time': 1043, 'decision_time': 1039, 'conflict_time': 792, 'RL_time': 247}
{'name': 'RL n=100 T=6 filterT', 'total_time': 1242, 'decision_time': 1241, 'conflict_time': 776, 'RL_time': 463}
{'name': 'RL-smf n=100 T=6', 'total_time': 1308, 'decision_time': 1308, 'conflict_time': 834, 'RL_time': 462}
{'name': 'RL-smf n=100 T=6 filterT', 'total_time': 1257, 'decision_time': 1257, 'conflict_time': 807, 'RL_time': 438}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=6', 'total_time': 39, 'decision_time': 39, 'conflict_time': 30, 'RL_time': 8}
{'name': 'RL n=20 T=6 filterT', 'total_time': 41, 'decision_time': 40, 'conflict_time': 29, 'RL_time': 10}
{'name': 'RL-smf n=20 T=6', 'total_time': 41, 'decision_time': 40, 'conflict_time': 31, 'RL_time': 8}
{'name': 'RL-smf n=20 T=6 filterT', 'total_time': 41, 'decision_time': 40, 'conflict_time': 30, 'RL_time': 9}
{'name': 'RL n=50 T=6', 'total_time': 233, 'decision_time': 232, 'conflict_time': 188, 'RL_time': 44}
{'name': 'RL n=50 T=6 filterT', 'total_time': 233, 'decision_time': 232, 'conflict_time': 191, 'RL_time': 41}
