{'name': 'k-smf-k=5', 'total_time': 35, 'decision_time': 26, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 168, 'decision_time': 161, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 236, 'decision_time': 183, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 152, 'decision_time': 151, 'conflict_time': 57, 'RL_time': 93}
{'name': 'RL n=20 T=7 filterT', 'total_time': 70, 'decision_time': 70, 'conflict_time': 58, 'RL_time': 12}
{'name': 'RL-smf n=20 T=7', 'total_time': 72, 'decision_time': 72, 'conflict_time': 58, 'RL_time': 13}
{'name': 'RL-smf n=20 T=7 filterT', 'total_time': 72, 'decision_time': 72, 'conflict_time': 59, 'RL_time': 11}
{'name': 'RL n=50 T=7', 'total_time': 374, 'decision_time': 374, 'conflict_time': 336, 'RL_time': 38}
{'name': 'RL n=50 T=7 filterT', 'total_time': 354, 'decision_time': 354, 'conflict_time': 330, 'RL_time': 23}
{'name': 'RL-smf n=50 T=7', 'total_time': 359, 'decision_time': 359, 'conflict_time': 329, 'RL_time': 28}
{'name': 'RL-smf n=50 T=7 filterT', 'total_time': 355, 'decision_time': 355, 'conflict_time': 330, 'RL_time': 22}
{'name': 'RL n=100 T=7', 'total_time': 1602, 'decision_time': 1601, 'conflict_time': 1400, 'RL_time': 200}
{'name': 'RL n=100 T=7 filterT', 'total_time': 1542, 'decision_time': 1541, 'conflict_time': 1342, 'RL_time': 198}
{'name': 'RL-smf n=100 T=7', 'total_time': 1549, 'decision_time': 1548, 'conflict_time': 1335, 'RL_time': 208}
{'name': 'RL-smf n=100 T=7 filterT', 'total_time': 1885, 'decision_time': 1884, 'conflict_time': 1330, 'RL_time': 548}
{'name': 'k-smf-k=5', 'total_time': 0, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-k=5', 'total_time': 1, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'k-smf-twisted-oracle-2-phase-k=5', 'total_time': 3, 'decision_time': None, 'conflict_time': None, 'RL_time': None}
{'name': 'RL n=20 T=7', 'total_time': 66, 'decision_time': 66, 'conflict_time': 55, 'RL_time': 10}
{'name': 'RL n=20 T=7 filterT', 'total_time': 62, 'decision_time': 62, 'conflict_time': 51, 'RL_time': 11}
{'name': 'RL-smf n=20 T=7', 'total_time': 73, 'decision_time': 72, 'conflict_time': 56, 'RL_time': 14}
